TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,pillow (keep adding from this: https://andrewskurka.com/backpacking-gear-list-template-checklist-3-season/),1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,pillow,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,stove,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,tent,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,quilt,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,water filter,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,binoculars,2,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,sleeping pad,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,10e,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,10e,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,puffy,2,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,puffy,2,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,raincoat,2,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,raincoat,2,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,kindle,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,kindle,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,food,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,bear bag/can,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,water filter,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,extra water containers,2,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,poop stuff,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,chair,3,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,chair,3,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,poles,2,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,poles,2,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,shoes/boots,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,shoes/boots,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,socks,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,socks,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,extra socks,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,extra socks,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,light gloves,2,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,light gloves,2,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,warm hat,2,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,warm hat,2,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,sun hat,2,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,sun hat,2,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,fuel,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,mug,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,mug,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,bowl,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,bowl,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,spoon,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,spoon,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,mid layer,1,1,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,mid layer,1,1,greg (8225633),Chandler (15184423),,en,America/Los_Angeles