TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,tablecloth,2,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,top box,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,food/cooking,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,cooler,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,dessert,2,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,drinks,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,snacks,2,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,coffee,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,grill/grate,2,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,mug,1,2,greg (8225633),greg (8225633),,en,America/Los_Angeles
,,,,,,,,
task,mug,1,2,greg (8225633),Chandler (15184423),,en,America/Los_Angeles
,,,,,,,,
task,cast iron pan,2,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,tarp,2,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,sleeping,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,pillows,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,hanging bags,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,sleeping foam,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,firewood,2,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,washup stuff,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,water jug,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,books,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,hatchet,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,dog food,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,baby,1,1,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,bassinet,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,sleeping bag,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,diaper bag,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,
task,sun tent,1,2,greg (8225633),,,en,America/Los_Angeles
,,,,,,,,